"score","review","writer","datetime"
"10","이렇게 페이즈 3을 마무리하기엔 해야 할 얘기가 너무 많은데.. 떡밥만 또 무지하게 뿌리는 마블  ","아따조타(chri****)","2019.07.02 12:19"
"8","아ㅡㅡ 쿠키영상 몬보고 나옴 다시보러가이야지 ㅋㅋ  ","승쵸리(dldh****)","2019.07.02 12:16"
"10","최고!!!다 역시 마블  ","최지웅(dndt****)","2019.07.02 12:16"
"10","관람객스파이더맨 짱ㅠㅠ 액션도 많고 존잼  ","mm(nsb1****)","2019.07.02 12:15"
"10","아제 마블영화볼때 누가나오던 다의심부터 할듯 ㅋㅋㅋㅋ  ","개구리(rlac****)","2019.07.02 12:15"
"10","I see you !!!  ","꿈틀(lsjj****)","2019.07.02 12:15"
"10","조조로 봤습니다 눈호강 귀호강 스파이더맨 체고ㅠㅠ 꼭보세요  ","차예(awwe****)","2019.07.02 12:14"
"8","왠 다이아~~피터가 토니에게 바치는 노래  ","선졔(assa****)","2019.07.02 12:14"
"10","청춘 드라마 보는 것 같이 풋풋하가도 하고 정말 재밌네요.  ","oopo****","2019.07.02 12:13"
"10","마지막까지 보길 바랍니다.반가운 인물이 등장하거든요.ㅋ  ","jyj7****","2019.07.02 12:13"
"10","Ironman everywhere.  ","르어꺼(ckco****)","2019.07.02 12:13"
"10","톰홀랜드 ㅜㅜㅜ 너무 귀여어!!!!또볼래  ","티키타카(eazy****)","2019.07.02 12:10"
"10","기존 스파이더맨 영화랑 차별화도 되면서 마블세계관에 고스란히 녹아드는 영화라니.. 중간에 아이언맨ost나올때 눈물날뻔했자낭..  ","아무무(kimp****)","2019.07.02 12:09"
"8","나는 생각한다, 고로 존재한다- Descartes  ","박윤태(qkrd****)","2019.07.02 11:57"
"10","닉퓨리 그는 도덕책....  ","쨈(aaro****)","2019.07.02 11:55"
"8","관람객어벤져스  끝나고 아쉬웠는데  스파이더맨이 채워주네요^^  ","jdh8****","2019.07.02 11:52"
"10","역대 스파이더맨중에 히로인은 제일 이쁘다.  ","아요아(brun****)","2019.07.02 11:50"
"10","연출에 러브라인까지 완벽.  ","가람(pkv1****)","2019.07.02 11:50"
"9","눈에  보이는 것만 믿지 마라다시 신나게 활동하는 스파이더맨을보니 좋았습니다  ","날두(neos****)","2019.07.02 11:50"
"10","Even Death, I’m The Hero.  ","미나리(x_ta****)","2019.07.02 11:48"
"10","피터파커....토니스타크의 유산 역대급이었다  ","kimd****","2019.07.02 11:47"
"8","먼가 큰그림 그리려다 말았네 ㅋ 다음 마블영화에서 그리고 디즈니플러스에서 다풀어내려나 ㅋ  ","웰치스레몬(scol****)","2019.07.02 11:47"
"10","이디스 갖고싶고 스파이더맨 여자친구가 되고싶구나 하 ㅋㅋㅋㅋ  ","보보(co51****)","2019.07.02 11:46"
